City,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
Albany,42.6001,-73.9662,53.37,46,5,1.01,US,1667866582
Provideniya,64.3833,-173.3,32.11,74,100,22.37,RU,1667866803
Bowen,-20.0167,148.2333,80.04,56,0,15.82,AU,1667866804
Khatanga,71.9667,102.5,5.95,96,100,5.41,RU,1667866804
Rikitea,-23.1203,-134.9692,73.53,92,100,20.13,PF,1667866805
Camacha,33.0833,-16.3333,62.02,100,20,2.3,PT,1667866805
Kapaa,22.0752,-159.319,84.18,72,20,13.8,US,1667866806
Port Elizabeth,-33.918,25.5701,63.32,88,0,16.11,ZA,1667866806
Mataura,-46.1927,168.8643,65.48,41,78,4.18,NZ,1667866806
Mamakan,57.8161,114.0028,23.47,95,100,3.94,RU,1667866807
Port Alfred,-33.5906,26.891,64.18,90,100,5.01,ZA,1667866807
Nanortalik,60.1432,-45.2371,28.08,88,100,2.68,GL,1667866807
Vila Velha,-20.3297,-40.2925,73.94,79,75,4.61,BR,1667866800
Cape Town,-33.9258,18.4232,61.12,86,39,1.01,ZA,1667866803
Busselton,-33.65,115.3333,60.51,71,25,11.54,AU,1667866808
Sisimiut,66.9395,-53.6735,11.34,86,9,10.71,GL,1667866808
Abhā,18.2164,42.5053,57.45,88,0,6.91,SA,1667866613
Bathsheba,13.2167,-59.5167,83.01,78,20,17.27,BB,1667866809
Hilo,19.7297,-155.09,82.13,73,40,9.22,US,1667866789
Bemidji,47.4736,-94.8803,32.92,83,40,0.0,US,1667866809
Carnarvon,-24.8667,113.6333,68.47,58,34,14.16,AU,1667866564
Hithadhoo,-0.6,73.0833,81.55,77,60,18.21,MV,1667866511
Kruisfontein,-34.0033,24.7314,57.38,83,100,5.26,ZA,1667866810
Beringovskiy,63.05,179.3167,29.77,97,100,16.22,RU,1667866810
San Jerónimo,-11.9472,-75.2829,45.57,93,75,2.15,PE,1667866811
Ballina,-28.8667,153.5667,64.02,99,63,6.49,AU,1667866811
Jamestown,42.097,-79.2353,49.59,60,0,8.05,US,1667866395
Butaritari,3.0707,172.7902,80.26,75,61,6.29,KI,1667866812
Katobu,-4.9408,122.5276,80.29,81,99,0.2,ID,1667866665
Leshan,29.5623,103.7639,60.84,91,98,1.32,CN,1667866812
Souillac,-20.5167,57.5167,71.98,88,20,4.61,MU,1667866813
Atuona,-9.8,-139.0333,77.05,69,79,13.53,PF,1667866813
Ottweiler,49.4013,7.1642,51.33,90,54,4.0,DE,1667866813
Punta Arenas,-53.15,-70.9167,55.51,67,0,17.27,CL,1667866805
Bariloche,-41.1456,-71.3082,60.55,44,0,18.41,AR,1667866814
East London,-33.0153,27.9116,67.93,86,100,13.82,ZA,1667866522
New Norfolk,-42.7826,147.0587,71.91,35,87,1.99,AU,1667866815
Saint Paul Harbor,57.79,-152.4072,38.71,87,100,16.11,US,1667866579
Manokwari,-0.8667,134.0833,82.72,72,85,3.6,ID,1667866816
Airai,-8.9266,125.4092,69.93,66,100,0.83,TL,1667866816
Nelson Bay,-32.7167,152.15,73.09,65,35,1.99,AU,1667866816
Tiksi,71.6872,128.8694,0.81,91,100,18.48,RU,1667866817
Rong Kwang,18.339,100.3174,63.88,89,79,2.44,TH,1667866817
Madang,-5.2246,145.7966,81.88,73,99,4.05,PG,1667866817
Dunedin,-45.8742,170.5036,58.59,70,48,9.33,NZ,1667866818
Chulym,55.0997,80.9572,26.22,97,91,4.81,RU,1667866818
Puerto Ayora,-0.7393,-90.3518,67.55,85,83,3.0,EC,1667866819
Vaini,-21.2,-175.2,80.76,74,20,6.91,TO,1667866819
Longyearbyen,78.2186,15.6401,24.64,80,75,13.8,SJ,1667866698
Qaanaaq,77.484,-69.3632,-1.07,98,100,6.13,GL,1667866521
Ushuaia,-54.8,-68.3,58.66,55,75,14.97,AR,1667866820
Quatre Cocos,-20.2078,57.7625,71.71,80,6,10.09,MU,1667866820
Gijón,43.5357,-5.6615,66.45,66,98,1.99,ES,1667866821
Katsuura,35.1333,140.3,61.65,79,13,10.58,JP,1667866530
Te Anau,-45.4167,167.7167,64.74,48,55,3.85,NZ,1667866603
Malartic,48.1335,-78.1328,35.71,76,91,13.47,CA,1667866821
